fuel_type,manufacturing_year,vehicle_age,pricein_lakhs
Petrol,2021.0,4.0,11.11
Petrol,2019.0,6.0,67.0
Petrol,2012.0,13.0,2.74
Petrol,2021.0,4.0,24.75
Diesel,2016.0,9.0,4.95
Petrol,2016.0,9.0,5.22
Diesel,2019.0,6.0,14.75
Petrol,2018.0,7.0,25.75
Petrol,2010.0,15.0,1.82
Petrol,2018.0,7.0,7.95
Petrol,2022.0,3.0,8.24
Diesel,2014.0,11.0,2.85
Petrol,2016.0,9.0,6.24
Petrol,2011.0,14.0,70000.0
Diesel,2016.0,9.0,43.33
Petrol,2022.0,3.0,43.75
Petrol,2018.0,7.0,29.9
Diesel,2020.0,5.0,22.5
Diesel,2019.0,6.0,77.0
Petrol,2014.0,11.0,4.37
Diesel,2019.0,6.0,45.9
Petrol,2015.0,10.0,3.08
Diesel,2022.0,3.0,20.0
Petrol,2021.0,4.0,43.9
Petrol,2010.0,15.0,1.68
Petrol,2019.0,6.0,44.9
Diesel,2021.0,4.0,33.0
Petrol,2015.0,10.0,3.94
Petrol,2018.0,7.0,45.9
Petrol,2021.0,4.0,7.18
Petrol,2017.0,8.0,8.65
Petrol,2013.0,12.0,3.54
Petrol,2015.0,10.0,3.3
Petrol,2020.0,5.0,41.9
Diesel,2021.0,4.0,36.0
Petrol,2014.0,11.0,3.27
Diesel,2019.0,6.0,65.0
CNG,2013.0,12.0,2.8
Petrol,2016.0,9.0,98.5
Diesel,2017.0,8.0,9.0
Petrol,2013.0,12.0,2.94
Petrol,2017.0,8.0,4.2
Petrol,2022.0,3.0,18.25
Petrol,2017.0,8.0,5.77
Diesel,2019.0,6.0,49.9
Petrol,2015.0,10.0,3.35
Petrol,2018.0,7.0,59.75
Petrol,2017.0,8.0,5.44
Diesel,2018.0,7.0,22.5
Diesel,2021.0,4.0,36.0
Petrol,2014.0,11.0,3.27
Diesel,2019.0,6.0,65.0
CNG,2013.0,12.0,2.8
Petrol,2016.0,9.0,98.5
Diesel,2017.0,8.0,9.0
Petrol,2013.0,12.0,2.94
Petrol,2017.0,8.0,4.2
Petrol,2022.0,3.0,18.25
Petrol,2017.0,8.0,5.77
Diesel,2019.0,6.0,49.9
Petrol,2015.0,10.0,3.35
Petrol,2018.0,7.0,59.75
Petrol,2017.0,8.0,5.44
Diesel,2018.0,7.0,22.5
Petrol,2022.0,3.0,24.0
Petrol,2014.0,11.0,3.17
Petrol,2023.0,2.0,15.62
Petrol,2018.0,7.0,17.9
Diesel,2018.0,7.0,4.3
Diesel,2021.0,4.0,24.75
Petrol,2012.0,13.0,2.47
Petrol,2014.0,11.0,4.13
Petrol,2011.0,14.0,1.6
Petrol,2017.0,8.0,4.59
Petrol,2016.0,9.0,7.49
Petrol,2019.0,6.0,6.75
Diesel,2020.0,5.0,25.25
Diesel,2020.0,5.0,11.55
Petrol,2015.0,10.0,3.02
Petrol,2018.0,7.0,7.25
Petrol,2020.0,5.0,3.88
Petrol,2021.0,4.0,10.5
Diesel,2020.0,5.0,44.5
Diesel,2018.0,7.0,33.0
Petrol,2014.0,11.0,4.11
Diesel,2017.0,8.0,29.9
Petrol,2022.0,3.0,16.01
Diesel,2020.0,5.0,7.8
Petrol,2017.0,8.0,32.5
Petrol,2017.0,8.0,5.52
Diesel,2017.0,8.0,19.95
Petrol,2021.0,4.0,49.5
Diesel,2018.0,7.0,7.99
Petrol,2013.0,12.0,12.45
Petrol,2016.0,9.0,6.49
Diesel,2020.0,5.0,11.55
Petrol,2015.0,10.0,3.02
Petrol,2018.0,7.0,7.25
Petrol,2020.0,5.0,3.88
Petrol,2018.0,7.0,49.5
Petrol,2021.0,4.0,10.5
Diesel,2020.0,5.0,44.5
Diesel,2018.0,7.0,33.0
Petrol,2014.0,11.0,4.11
Diesel,2017.0,8.0,29.9
Petrol,2022.0,3.0,16.01
Diesel,2020.0,5.0,7.8
Petrol,2017.0,8.0,32.5
Petrol,2017.0,8.0,5.52
Diesel,2017.0,8.0,19.95
Petrol,2021.0,4.0,49.5
Diesel,2018.0,7.0,7.99
Petrol,2013.0,12.0,12.45
Petrol,2016.0,9.0,6.49
Petrol,2021.0,4.0,26.5
Petrol,2011.0,14.0,2.37
Petrol,2018.0,7.0,6.4
Diesel,2019.0,6.0,18.75
Diesel,2019.0,6.0,41.5
Petrol,2019.0,6.0,5.12
Petrol,2014.0,11.0,4.95
