fuel_type,manufacturing_year,vehicle_age,pricein_lakhs
Petrol,2018.0,7.0,19.25
Diesel,2016.0,9.0,18.0
Petrol,2015.0,10.0,6.82
Petrol,2017.0,8.0,24.8
Petrol,2022.0,3.0,48.5
Diesel,2019.0,6.0,7.8
Petrol,2018.0,7.0,93.0
Petrol,2019.0,6.0,10.76
Diesel,2017.0,8.0,25.5
Petrol,2020.0,5.0,82.0
Petrol,2015.0,10.0,3.21
Diesel,2020.0,5.0,69.5
Diesel,2017.0,8.0,6.61
Diesel,2019.0,6.0,43.0
Petrol,2015.0,10.0,4.6
Diesel,2017.0,8.0,27.5
Petrol,2017.0,8.0,6.82
Petrol,2019.0,6.0,10.25
Diesel,2019.0,6.0,11.6
Petrol,2019.0,6.0,49.75
Petrol,2017.0,8.0,8.5
Petrol,2016.0,9.0,5.2
Petrol,2018.0,7.0,6.25
Diesel,2022.0,3.0,79.9
Diesel,2018.0,7.0,6.55
Petrol,2017.0,8.0,5.25
Petrol,2018.0,7.0,6.72
Petrol,2023.0,2.0,59.75
Petrol,2012.0,13.0,4.5
Petrol,2017.0,8.0,5.01
Petrol,2014.0,11.0,8.5
Diesel,2021.0,4.0,43.0
Diesel,2018.0,7.0,5.97
Diesel,2021.0,4.0,20.0
Petrol,2015.0,10.0,12.5
Diesel,2017.0,8.0,27.5
Petrol,2017.0,8.0,6.82
Petrol,2019.0,6.0,10.25
Diesel,2019.0,6.0,11.6
Petrol,2019.0,6.0,49.75
Petrol,2017.0,8.0,8.5
Petrol,2016.0,9.0,5.2
Petrol,2018.0,7.0,6.25
Diesel,2022.0,3.0,79.9
Diesel,2018.0,7.0,6.55
Petrol,2017.0,8.0,5.25
Petrol,2018.0,7.0,6.72
Petrol,2023.0,2.0,59.75
Petrol,2012.0,13.0,4.5
Petrol,2017.0,8.0,5.01
Petrol,2014.0,11.0,8.5
Diesel,2021.0,4.0,43.0
Diesel,2018.0,7.0,5.97
Diesel,2021.0,4.0,20.0
Petrol,2015.0,10.0,12.5
Diesel,2021.0,4.0,1.5
Petrol,2019.0,6.0,8.29
Petrol,2012.0,13.0,4.25
Petrol,2015.0,10.0,3.97
Diesel,2019.0,6.0,1.8
Petrol,2018.0,7.0,6.85
Petrol,2018.0,7.0,7.45
Petrol,2015.0,10.0,6.95
Diesel,2020.0,5.0,44.9
Petrol,2017.0,8.0,5.44
Diesel,2019.0,6.0,20.5
Petrol,2018.0,7.0,5.34
Diesel,2017.0,8.0,51.5
Petrol,2012.0,13.0,4.5
Diesel,2018.0,7.0,7.22
Petrol,2016.0,9.0,12.65
Petrol,2020.0,5.0,7.99
Petrol,2018.0,7.0,6.75
Petrol,2017.0,8.0,45.45
Diesel,2021.0,4.0,1.5
Petrol,2019.0,6.0,8.29
Petrol,2012.0,13.0,4.25
Petrol,2015.0,10.0,3.97
Diesel,2019.0,6.0,1.8
Petrol,2018.0,7.0,6.85
Petrol,2018.0,7.0,7.45
Petrol,2015.0,10.0,6.95
Diesel,2020.0,5.0,44.9
Petrol,2017.0,8.0,5.44
Diesel,2019.0,6.0,20.5
Petrol,2018.0,7.0,5.34
Diesel,2017.0,8.0,51.5
Petrol,2012.0,13.0,4.5
Diesel,2018.0,7.0,7.22
Petrol,2016.0,9.0,12.65
Petrol,2020.0,5.0,7.99
Petrol,2018.0,7.0,6.75
Petrol,2017.0,8.0,45.45
Diesel,2020.0,5.0,52.0
Petrol,2014.0,11.0,3.21
Petrol,2015.0,10.0,6.25
Petrol,2014.0,11.0,3.68
Petrol,2016.0,9.0,66.0
Petrol,2019.0,6.0,7.12
Petrol,2012.0,13.0,4.5
Petrol,2019.0,6.0,71.0
Petrol,2018.0,7.0,5.44
Diesel,2018.0,7.0,15.9
Petrol,2016.0,9.0,5.14
Petrol,2017.0,8.0,31.0
Petrol,2015.0,10.0,23.9
Petrol,2019.0,6.0,8.14
Diesel,2020.0,5.0,97.0
Diesel,2021.0,4.0,1.06
Diesel,2018.0,7.0,7.8
Petrol,2020.0,5.0,10.95
Diesel,2015.0,10.0,19.99
Diesel,2020.0,5.0,52.0
Petrol,2014.0,11.0,3.21
Petrol,2015.0,10.0,6.25
Petrol,2014.0,11.0,3.68
Petrol,2016.0,9.0,66.0
Petrol,2019.0,6.0,7.12
Petrol,2012.0,13.0,4.5
Petrol,2019.0,6.0,71.0
Petrol,2018.0,7.0,5.44
Diesel,2018.0,7.0,15.9
Petrol,2016.0,9.0,5.14
Petrol,2017.0,8.0,31.0
Petrol,2015.0,10.0,23.9
Petrol,2019.0,6.0,8.14
Diesel,2020.0,5.0,97.0
Diesel,2021.0,4.0,1.06
Diesel,2018.0,7.0,7.8
Petrol,2020.0,5.0,10.95
Diesel,2015.0,10.0,19.99
Petrol,2022.0,3.0,87.0
Petrol,2019.0,6.0,6.82
Diesel,2016.0,9.0,15.75
Petrol,2015.0,10.0,5.1
Petrol,2017.0,8.0,27.25
Diesel,2017.0,8.0,45.0
Petrol,2017.0,8.0,8.62
Petrol,2009.0,16.0,8.25
Diesel,2018.0,7.0,35.5
Petrol,2018.0,7.0,4.12
Petrol,2017.0,8.0,5.95
Petrol,2015.0,10.0,2.98
Diesel,2017.0,8.0,34.9
Diesel,2017.0,8.0,18.9
Diesel,2018.0,7.0,7.27
Petrol,2013.0,12.0,3.95
Diesel,2021.0,4.0,2.45
Petrol,2013.0,12.0,2.93
Petrol,2015.0,10.0,6.25
Diesel,2018.0,7.0,37.9
Petrol,2022.0,3.0,87.0
Petrol,2019.0,6.0,6.82
Diesel,2016.0,9.0,15.75
Petrol,2015.0,10.0,5.1
Petrol,2017.0,8.0,27.25
Diesel,2017.0,8.0,45.0
Petrol,2017.0,8.0,8.62
Petrol,2009.0,16.0,8.25
Diesel,2018.0,7.0,35.5
Petrol,2018.0,7.0,4.12
Petrol,2017.0,8.0,5.95
Petrol,2015.0,10.0,2.98
Diesel,2017.0,8.0,34.9
Diesel,2017.0,8.0,18.9
Diesel,2018.0,7.0,7.27
Petrol,2013.0,12.0,3.95
Diesel,2021.0,4.0,2.45
Petrol,2013.0,12.0,2.93
Petrol,2015.0,10.0,6.25
Diesel,2018.0,7.0,37.9
Diesel,2019.0,6.0,65.5
Diesel,2019.0,6.0,13.65
Petrol,2023.0,2.0,16.95
Petrol,2020.0,5.0,5.94
Diesel,2017.0,8.0,17.5
Petrol,2022.0,3.0,55.8
Diesel,2018.0,7.0,7.99
Petrol,2021.0,4.0,55.9
Diesel,2018.0,7.0,38.0
Diesel,2020.0,5.0,9.99
Petrol,2022.0,3.0,72.0
Petrol,2021.0,4.0,8.14
Petrol,2023.0,2.0,9.85
Petrol,2010.0,15.0,1.3
Diesel,2018.0,7.0,8.99
Diesel,2017.0,8.0,7.99
Diesel,2020.0,5.0,74.5
Petrol,2018.0,7.0,4.25
Petrol,2021.0,4.0,16.4
Diesel,2018.0,7.0,7.0
Diesel,2019.0,6.0,8.74
Petrol,2021.0,4.0,15.25
Petrol,2012.0,13.0,2.92
Petrol,2017.0,8.0,4.25
Petrol,2013.0,12.0,1.75
Petrol,2020.0,5.0,13.08
Petrol,2015.0,10.0,3.1
Diesel,2019.0,6.0,34.75
Petrol,2016.0,9.0,5.64
Petrol,2018.0,7.0,5.15
Petrol,2016.0,9.0,3.42
Diesel,2019.0,6.0,49.5
Petrol,2013.0,12.0,2.49
CNG,2018.0,7.0,7.65
Diesel,2017.0,8.0,48.5
Petrol,2015.0,10.0,3.75
Petrol,2015.0,10.0,4.25
Petrol,2013.0,12.0,2.65
Petrol,2020.0,5.0,10.0
Petrol,2022.0,3.0,10.85
CNG,2015.0,10.0,1.5
Petrol,2018.0,7.0,4.24
Petrol,2016.0,9.0,5.2
Petrol,2019.0,6.0,9.75
Petrol,2012.0,13.0,4.4
Diesel,2020.0,5.0,10.5
Diesel,2016.0,9.0,8.85
Petrol,2015.0,10.0,4.56
Diesel,2013.0,12.0,3.99
Petrol,2015.0,10.0,4.59
Diesel,2019.0,6.0,8.5
Diesel,2017.0,8.0,6.25
Diesel,2018.0,7.0,10.75
Petrol,2022.0,3.0,16.5
Diesel,2011.0,14.0,2.4
Petrol,2010.0,15.0,1.9
Petrol,2019.0,6.0,9.25
Diesel,2014.0,11.0,6.5
Diesel,2016.0,9.0,8.85
Petrol,2015.0,10.0,4.59
Diesel,2014.0,11.0,6.5
Petrol,2016.0,9.0,3.17
Petrol,2019.0,6.0,7.7
Petrol,2021.0,4.0,5.44
Petrol,2016.0,9.0,5.8
Petrol,2018.0,7.0,5.73
Petrol,2021.0,4.0,6.41
Diesel,2013.0,12.0,12.0
Petrol,2021.0,4.0,7.57
Diesel,2011.0,14.0,11.0
Diesel,2018.0,7.0,39.95
Diesel,2012.0,13.0,12.0
Diesel,2017.0,8.0,7.25
Diesel,2020.0,5.0,16.5
Diesel,2014.0,11.0,5.5
Diesel,2018.0,7.0,7.75
Diesel,2017.0,8.0,7.25
Diesel,2021.0,4.0,11.24
Petrol,2012.0,13.0,4.1
Petrol,2017.0,8.0,33.0
Diesel,2017.0,8.0,6.07
Petrol,2021.0,4.0,7.75
Petrol,2017.0,8.0,5.75
Diesel,2019.0,6.0,7.61
Petrol,2009.0,16.0,1.75
Petrol,2017.0,8.0,5.02
Petrol,2017.0,8.0,5.59
Petrol,2012.0,13.0,2.9
Petrol,2020.0,5.0,6.83
Diesel,2018.0,7.0,5.75
Diesel,2019.0,6.0,29.5
Diesel,2019.0,6.0,7.5
Diesel,2018.0,7.0,37.5
Petrol,2018.0,7.0,6.8
Petrol,2019.0,6.0,6.75
Diesel,2019.0,6.0,8.75
Petrol,2015.0,10.0,6.15
Petrol,2017.0,8.0,3.02
Petrol,2020.0,5.0,7.14
Diesel,2017.0,8.0,7.95
Petrol,2012.0,13.0,4.53
Petrol,2015.0,10.0,4.26
Diesel,2019.0,6.0,17.51
Petrol,2019.0,6.0,5.15
Petrol,2014.0,11.0,6.0
Petrol,2013.0,12.0,3.19
Petrol,2018.0,7.0,5.43
Diesel,2018.0,7.0,34.5
Petrol,2018.0,7.0,4.92
Diesel,2012.0,13.0,4.1
Petrol,2016.0,9.0,5.25
Petrol,2014.0,11.0,5.55
Diesel,2013.0,12.0,14.5
Petrol,2018.0,7.0,6.0
Petrol,2019.0,6.0,7.5
Diesel,2015.0,10.0,5.25
Petrol,2019.0,6.0,3.52
Petrol,2017.0,8.0,4.4
Diesel,2017.0,8.0,6.06
Petrol,2016.0,9.0,4.96
Diesel,2023.0,2.0,22.0
Petrol,2016.0,9.0,3.68
Petrol,2021.0,4.0,6.1
Petrol,2015.0,10.0,5.45
Diesel,2012.0,13.0,4.2
Petrol,2019.0,6.0,5.6
Petrol,2021.0,4.0,7.55
Diesel,2010.0,15.0,1.0
Petrol,2014.0,11.0,5.5
Petrol,2017.0,8.0,5.05
Diesel,2015.0,10.0,5.95
Petrol,2019.0,6.0,3.4
Petrol,2021.0,4.0,7.95
Petrol,2020.0,5.0,5.1
Diesel,2018.0,7.0,5.9
Petrol,2012.0,13.0,3.27
Diesel,2017.0,8.0,7.15
Diesel,2020.0,5.0,39.5
Petrol,2016.0,9.0,4.21
Petrol,2019.0,6.0,6.66
Petrol,2013.0,12.0,4.65
Petrol,2016.0,9.0,4.11
Petrol,2021.0,4.0,8.5
Petrol,2015.0,10.0,4.14
Petrol,2013.0,12.0,3.84
Petrol,2016.0,9.0,7.95
Petrol,2018.0,7.0,4.3
Diesel,2014.0,11.0,5.75
Petrol,2018.0,7.0,5.5
Diesel,2021.0,4.0,13.9
Petrol,2018.0,7.0,5.95
Diesel,2014.0,11.0,11.75
Petrol,2016.0,9.0,4.5
Petrol,2017.0,8.0,5.4
Petrol,2022.0,3.0,5.4
Petrol,2016.0,9.0,5.32
Petrol,2019.0,6.0,8.7
Petrol,2016.0,9.0,5.11
Petrol,2017.0,8.0,4.39
Diesel,2013.0,12.0,4.5
Petrol,2018.0,7.0,4.72
Petrol,2016.0,9.0,27.9
Diesel,2016.0,9.0,4.64
Petrol,2016.0,9.0,4.06
Petrol,2015.0,10.0,5.9
Petrol,2022.0,3.0,7.87
Petrol,2018.0,7.0,6.9
Petrol,2013.0,12.0,3.5
Petrol,2016.0,9.0,6.6
Diesel,2018.0,7.0,43.5
Petrol,2010.0,15.0,6.5
Petrol,2019.0,6.0,5.7
Diesel,2017.0,8.0,7.1
Petrol,2014.0,11.0,4.4
Petrol,2016.0,9.0,6.37
Petrol,2014.0,11.0,4.24
Petrol,2012.0,13.0,3.2
Petrol,2016.0,9.0,5.2
Petrol,2015.0,10.0,4.61
Petrol,2022.0,3.0,8.75
Petrol,2017.0,8.0,5.87
Petrol,2022.0,3.0,33.5
Petrol,2017.0,8.0,7.21
Petrol,2020.0,5.0,6.77
Petrol,2022.0,3.0,67.5
Petrol,2022.0,3.0,5.86
Diesel,2012.0,13.0,4.25
Petrol,2017.0,8.0,4.75
Diesel,2017.0,8.0,6.15
Petrol,2010.0,15.0,2.5
Diesel,2018.0,7.0,10.25
Petrol,2009.0,16.0,1.4
Diesel,2017.0,8.0,7.8
Petrol,2020.0,5.0,7.04
Petrol,2021.0,4.0,7.14
Diesel,2012.0,13.0,2.25
Petrol,2016.0,9.0,4.79
Petrol,2016.0,9.0,4.26
Petrol,2014.0,11.0,19.9
Petrol,2014.0,11.0,3.7
Petrol,2013.0,12.0,3.0
Petrol,2011.0,14.0,3.73
Petrol,2017.0,8.0,3.99
Petrol,2018.0,7.0,6.25
Petrol,2020.0,5.0,5.57
Petrol,2021.0,4.0,6.5
Petrol,2017.0,8.0,5.75
Petrol,2019.0,6.0,6.9
Petrol,2015.0,10.0,4.9
Diesel,2015.0,10.0,5.5
Petrol,2020.0,5.0,8.5
Petrol,2015.0,10.0,3.9
Petrol,2013.0,12.0,4.08
Diesel,2017.0,8.0,7.58
Diesel,2021.0,4.0,25.9
Petrol,2015.0,10.0,4.8
Petrol,2018.0,7.0,5.33
Petrol,2018.0,7.0,9.9
CNG,2021.0,4.0,4.2
Petrol,2018.0,7.0,9.5
Petrol,2015.0,10.0,4.65
Diesel,2012.0,13.0,3.56
Petrol,2017.0,8.0,4.75
Petrol,2016.0,9.0,4.3
Petrol,2016.0,9.0,6.5
Diesel,2015.0,10.0,5.75
Petrol,2014.0,11.0,6.9
Petrol,2016.0,9.0,6.25
Diesel,2016.0,9.0,9.25
Diesel,2017.0,8.0,6.75
Petrol,2014.0,11.0,52.9
Diesel,2015.0,10.0,5.9
Petrol,2021.0,4.0,7.58
Petrol,2016.0,9.0,4.5
Diesel,2016.0,9.0,40.0
Petrol,2017.0,8.0,5.01
Petrol,2016.0,9.0,4.12
Diesel,2018.0,7.0,15.5
Petrol,2017.0,8.0,4.91
Diesel,2013.0,12.0,11.9
Petrol,2012.0,13.0,4.01
Petrol,2017.0,8.0,6.37
Diesel,2015.0,10.0,28.9
Petrol,2017.0,8.0,4.96
Diesel,2018.0,7.0,29.5
Diesel,2014.0,11.0,35.0
Diesel,2015.0,10.0,23.9
Diesel,2015.0,10.0,32.9
Diesel,2020.0,5.0,53.5
Petrol,2019.0,6.0,4.5
Petrol,2018.0,7.0,5.1
Petrol,2015.0,10.0,4.02
Petrol,2018.0,7.0,5.67
Petrol,2018.0,7.0,10.9
Petrol,2012.0,13.0,2.8
Petrol,2016.0,9.0,5.13
Diesel,2014.0,11.0,3.75
Petrol,2015.0,10.0,4.19
Petrol,2007.0,18.0,1.55
Diesel,2016.0,9.0,5.43
Petrol,2016.0,9.0,2.91
Petrol,2020.0,5.0,13.9
Petrol,2017.0,8.0,9.12
Petrol,2020.0,5.0,12.9
Diesel,2014.0,11.0,3.45
Diesel,2012.0,13.0,2.25
Diesel,2013.0,12.0,4.0
Diesel,2016.0,9.0,6.15
Diesel,2017.0,8.0,19.75
Petrol,2014.0,11.0,3.6
Petrol,2016.0,9.0,6.5
Petrol,2016.0,9.0,3.89
Petrol,2021.0,4.0,7.27
Petrol,2017.0,8.0,4.95
Diesel,2012.0,13.0,3.71
Diesel,2014.0,11.0,4.22
Diesel,2020.0,5.0,6.75
Petrol,2019.0,6.0,4.6
Petrol,2014.0,11.0,5.17
Petrol,2018.0,7.0,5.8
Petrol,2010.0,15.0,2.4
Petrol,2015.0,10.0,4.79
Diesel,2019.0,6.0,13.95
Diesel,2018.0,7.0,11.0
Petrol,2022.0,3.0,12.9
Petrol,2017.0,8.0,4.75
Diesel,2017.0,8.0,6.9
Diesel,2015.0,10.0,5.5
Diesel,2016.0,9.0,5.5
Diesel,2015.0,10.0,4.25
Petrol,2014.0,11.0,3.15
Petrol,2021.0,4.0,5.69
Petrol,2009.0,16.0,95000.0
Petrol,2020.0,5.0,3.69
Petrol,2016.0,9.0,3.61
Petrol,2021.0,4.0,6.99
CNG,2020.0,5.0,4.74
Petrol,2009.0,16.0,2.25
Diesel,2015.0,10.0,4.75
Petrol,2020.0,5.0,3.43
Petrol,2019.0,6.0,6.5
Petrol,2019.0,6.0,3.32
Petrol,2021.0,4.0,8.9
Petrol,2020.0,5.0,3.39
Petrol,2015.0,10.0,3.99
Petrol,2019.0,6.0,5.4
Diesel,2016.0,9.0,5.5
Diesel,2019.0,6.0,8.75
Petrol,2011.0,14.0,1.85
Petrol,2020.0,5.0,4.19
Diesel,2016.0,9.0,5.5
CNG,2020.0,5.0,4.79
Petrol,2019.0,6.0,1.05
Diesel,2019.0,6.0,8.75
CNG,2019.0,6.0,4.49
Petrol,2018.0,7.0,7.45
Petrol,2018.0,7.0,21.0
Diesel,2019.0,6.0,10.83
Diesel,2018.0,7.0,6.85
Petrol,2019.0,6.0,3.03
Petrol,2018.0,7.0,3.6
Petrol,2018.0,7.0,3.95
Diesel,2018.0,7.0,5.83
Diesel,2018.0,7.0,9.95
Petrol,2016.0,9.0,2.25
Petrol,2019.0,6.0,3.65
Diesel,2018.0,7.0,7.75
Petrol,2014.0,11.0,2.29
CNG,2020.0,5.0,4.77
Petrol,2013.0,12.0,2.22
Diesel,2011.0,14.0,2.55
Petrol,2018.0,7.0,4.7
Petrol,2019.0,6.0,11.92
Diesel,2016.0,9.0,45.0
Petrol,2021.0,4.0,12.81
Diesel,2018.0,7.0,6.75
Diesel,2014.0,11.0,3.44
Petrol,2017.0,8.0,2.72
Diesel,2015.0,10.0,5.25
Diesel,2018.0,7.0,14.95
Diesel,2013.0,12.0,2.45
Diesel,2019.0,6.0,6.65
Diesel,2018.0,7.0,19.35
Petrol,2023.0,2.0,5.9
Petrol,2022.0,3.0,50.0
Petrol,2021.0,4.0,9.25
Petrol,2015.0,10.0,3.75
Petrol,2011.0,14.0,2.63
Petrol,2014.0,11.0,2.05
Petrol,2017.0,8.0,3.9
Petrol,2021.0,4.0,6.19
Petrol,2017.0,8.0,3.65
Petrol,2014.0,11.0,3.79
Petrol,2019.0,6.0,5.45
Petrol,2014.0,11.0,3.05
Petrol,2014.0,11.0,3.81
Petrol,2016.0,9.0,3.75
Petrol,2020.0,5.0,5.45
Petrol,2018.0,7.0,4.25
Petrol,2017.0,8.0,2.75
Petrol,2011.0,14.0,2.7
Petrol,2014.0,11.0,2.35
Petrol,2009.0,16.0,1.25
Petrol,2018.0,7.0,6.9
Petrol,2021.0,4.0,80.0
Diesel,2023.0,2.0,20.25
Petrol,2018.0,7.0,2.72
Diesel,2014.0,11.0,3.32
Petrol,2022.0,3.0,5.05
Petrol,2015.0,10.0,3.74
Diesel,2016.0,9.0,5.1
Petrol,2015.0,10.0,2.15
Diesel,2014.0,11.0,3.47
Petrol,2021.0,4.0,7.98
Petrol,2021.0,4.0,8.99
Petrol,2016.0,9.0,3.77
Petrol,2014.0,11.0,3.49
Petrol,2019.0,6.0,4.25
Diesel,2016.0,9.0,4.5
Petrol,2015.0,10.0,4.95
Petrol,2016.0,9.0,3.95
Petrol,2009.0,16.0,2.25
Petrol,2013.0,12.0,3.45
Petrol,2020.0,5.0,12.9
Petrol,2011.0,14.0,1.75
Petrol,2020.0,5.0,50.0
Petrol,2019.0,6.0,3.27
Diesel,2015.0,10.0,6.28
Petrol,2021.0,4.0,12.49
Petrol,2021.0,4.0,12.07
Petrol,2014.0,11.0,3.41
Petrol,2015.0,10.0,5.55
Petrol,2016.0,9.0,3.33
Diesel,2019.0,6.0,28.0
Petrol,2018.0,7.0,7.88
Petrol,2014.0,11.0,3.72
Petrol,2016.0,9.0,4.71
Petrol,2018.0,7.0,8.25
Petrol,2019.0,6.0,8.25
Petrol,2018.0,7.0,8.5
Petrol,2018.0,7.0,8.85
Petrol,2016.0,9.0,8.15
Petrol,2017.0,8.0,8.85
Petrol,2018.0,7.0,5.75
Petrol,2018.0,7.0,7.49
Diesel,2017.0,8.0,5.25
Diesel,2015.0,10.0,6.39
Petrol,2020.0,5.0,7.64
Diesel,2010.0,15.0,4.4
Petrol,2019.0,6.0,4.74
Petrol,2015.0,10.0,4.71
Petrol,2016.0,9.0,5.95
Diesel,2015.0,10.0,4.98
Diesel,2013.0,12.0,10.75
Diesel,2015.0,10.0,3.71
Diesel,2018.0,7.0,5.29
Diesel,2014.0,11.0,3.95
Diesel,2013.0,12.0,2.8
Diesel,2016.0,9.0,16.7
Petrol,2018.0,7.0,3.85
Petrol,2014.0,11.0,3.6
Petrol,2013.0,12.0,3.95
Petrol,2016.0,9.0,10.95
Diesel,2016.0,9.0,16.5
Diesel,2018.0,7.0,46.0
Petrol,2015.0,10.0,5.5
Diesel,2014.0,11.0,3.29
Petrol,2013.0,12.0,3.44
Diesel,2014.0,11.0,16.75
Diesel,2017.0,8.0,5.22
Petrol,2019.0,6.0,3.92
Petrol,2019.0,6.0,3.99
Petrol,2019.0,6.0,4.89
Diesel,2012.0,13.0,6.25
Petrol,2018.0,7.0,3.38
Petrol,2014.0,11.0,5.25
Petrol,2018.0,7.0,4.65
Petrol,2022.0,3.0,8.25
Petrol,2009.0,16.0,1.51
Petrol,2013.0,12.0,2.85
Diesel,2019.0,6.0,10.5
Petrol,2020.0,5.0,13.75
Diesel,2017.0,8.0,7.5
Petrol,2020.0,5.0,13.5
Diesel,2018.0,7.0,7.5
Diesel,2019.0,6.0,24.0
Petrol,2017.0,8.0,5.27
Petrol,2012.0,13.0,2.8
Petrol,2014.0,11.0,2.25
Petrol,2017.0,8.0,5.47
Petrol,2017.0,8.0,4.42
Petrol,2016.0,9.0,3.1
Petrol,2021.0,4.0,8.69
Petrol,2017.0,8.0,3.25
Diesel,2018.0,7.0,10.71
Petrol,2017.0,8.0,5.62
Petrol,2020.0,5.0,13.2
Petrol,2015.0,10.0,4.35
Diesel,2019.0,6.0,5.75
Petrol,2011.0,14.0,2.25
Petrol,2017.0,8.0,3.85
Diesel,2021.0,4.0,16.25
Petrol,2013.0,12.0,2.5
Diesel,2013.0,12.0,12.5
Diesel,2020.0,5.0,4.45
Petrol,2021.0,4.0,4.73
Petrol,2012.0,13.0,2.27
Petrol,2018.0,7.0,5.3
Diesel,2016.0,9.0,4.85
Petrol,2018.0,7.0,3.04
Diesel,2018.0,7.0,5.65
Diesel,2015.0,10.0,4.89
Diesel,2019.0,6.0,16.95
Petrol,2021.0,4.0,8.85
Diesel,2021.0,4.0,7.89
Diesel,2020.0,5.0,1.1
Diesel,2017.0,8.0,6.5
Diesel,2015.0,10.0,5.9
Diesel,2016.0,9.0,4.55
Petrol,2014.0,11.0,2.35
Diesel,2020.0,5.0,39.0
Petrol,2017.0,8.0,4.41
Diesel,2018.0,7.0,5.25
Diesel,2017.0,8.0,16.0
Petrol,2020.0,5.0,4.6
Diesel,2017.0,8.0,6.75
Diesel,2022.0,3.0,19.24
Petrol,2011.0,14.0,1.8
Petrol,2017.0,8.0,5.13
Diesel,2022.0,3.0,69.5
Petrol,2022.0,3.0,16.35
Petrol,2022.0,3.0,6.55
Petrol,2018.0,7.0,7.65
Petrol,2022.0,3.0,10.99
Petrol,2014.0,11.0,3.84
Petrol,2012.0,13.0,2.9
Petrol,2017.0,8.0,5.48
Diesel,2021.0,4.0,58.75
Petrol,2013.0,12.0,3.15
Petrol,2019.0,6.0,17.5
Petrol,2016.0,9.0,4.7
Petrol,2021.0,4.0,11.4
Petrol,2018.0,7.0,5.45
Petrol,2019.0,6.0,99.0
Petrol,2010.0,15.0,1.69
Petrol,2018.0,7.0,11.35
Petrol,2022.0,3.0,9.35
Petrol,2014.0,11.0,3.14
Petrol,2018.0,7.0,4.59
Petrol,2012.0,13.0,2.9
Petrol,2017.0,8.0,5.87
Diesel,2021.0,4.0,58.75
CNG,2014.0,11.0,6.34
Petrol,2018.0,7.0,6.37
Petrol,2013.0,12.0,3.15
CNG,2020.0,5.0,6.7
Diesel,2020.0,5.0,9.95
Petrol,2010.0,15.0,2.4
Petrol,2020.0,5.0,37.75
Petrol,2022.0,3.0,85.0
Petrol,2019.0,6.0,17.5
Petrol,2021.0,4.0,11.4
Petrol,2018.0,7.0,5.45
Petrol,2021.0,4.0,35.49
Petrol,2020.0,5.0,6.94
Petrol,2017.0,8.0,8.75
Petrol,2013.0,12.0,3.57
Petrol,2017.0,8.0,5.69
Petrol,2019.0,6.0,99.0
Petrol,2016.0,9.0,3.15
Petrol,2022.0,3.0,16.21
Diesel,2018.0,7.0,41.99
Petrol,2021.0,4.0,6.19
Petrol,2015.0,10.0,5.31
Petrol,2014.0,11.0,4.54
Petrol,2021.0,4.0,16.0
Petrol,2010.0,15.0,2.35
Petrol,2021.0,4.0,8.45
Petrol,2021.0,4.0,1.15
Diesel,2020.0,5.0,17.0
Petrol,2016.0,9.0,6.25
Petrol,2012.0,13.0,2.8
Petrol,2014.0,11.0,2.95
Petrol,2018.0,7.0,24.99
Petrol,2019.0,6.0,9.7
Petrol,2017.0,8.0,5.35
Petrol,2020.0,5.0,14.28
Diesel,2015.0,10.0,6.25
Petrol,2021.0,4.0,11.85
Petrol,2020.0,5.0,7.53
Petrol,2022.0,3.0,7.45
Diesel,2015.0,10.0,6.5
Petrol,2021.0,4.0,6.44
Diesel,2016.0,9.0,5.25
Petrol,2018.0,7.0,11.05
Petrol,2022.0,3.0,5.9
Petrol,2018.0,7.0,6.5
CNG,2022.0,3.0,11.5
Diesel,2020.0,5.0,17.41
Petrol,2017.0,8.0,5.85
Petrol,2018.0,7.0,4.75
Petrol,2018.0,7.0,6.1
E85 Flex Fuel,2013.0,12.0,"$10,300"
Gasoline,2021.0,4.0,"$38,005"
Gasoline,2022.0,3.0,"$54,598"
Hybrid,2015.0,10.0,"$15,500"
Gasoline,2021.0,4.0,"$34,999"
Gasoline,2016.0,9.0,"$14,798"
Gasoline,2017.0,8.0,"$31,000"
Gasoline,2001.0,24.0,"$7,300"
Gasoline,2021.0,4.0,"$41,927"
Gasoline,2021.0,4.0,"$73,897"
Gasoline,2019.0,6.0,"$184,606"
Gasoline,2021.0,4.0,"$53,500"
Gasoline,2022.0,3.0,"$62,000"
Gasoline,2020.0,5.0,"$47,998"
Gasoline,2013.0,12.0,"$29,990"
Gasoline,2021.0,4.0,"$250,000"
Gasoline,2013.0,12.0,"$16,800"
Gasoline,2003.0,22.0,"$11,000"
Gasoline,2018.0,7.0,"$68,750"
Gasoline,2023.0,2.0,"$60,000"
E85 Flex Fuel,2000.0,25.0,"$4,500"
Gasoline,2020.0,5.0,"$38,598"
Gasoline,2023.0,2.0,"$58,504"
Gasoline,2021.0,4.0,"$61,000"
Gasoline,2022.0,3.0,"$32,300"
Gasoline,2016.0,9.0,"$13,998"
Gasoline,2021.0,4.0,"$59,995"
Gasoline,2015.0,10.0,"$25,700"
E85 Flex Fuel,2017.0,8.0,"$21,375"
Gasoline,2018.0,7.0,"$48,000"
Gasoline,2006.0,19.0,"$10,900"
Hybrid,2020.0,5.0,"$24,998"
Gasoline,2011.0,14.0,"$5,999"
Gasoline,2016.0,9.0,"$46,900"
Gasoline,2017.0,8.0,"$15,900"
